"Skola","Enhetskod","Skolkommun","Kommunkod","Typavhuvudman","Huvudman","HuvudmanOrgnr","Eleverförskoleklass","Andelflickor(%)","Elever ÅK 1-9","","","","","","","","","","","",""
"Vrenafriskola","57861440","Nyköping","0480","Enskild","VrenaFriskoleförening","8024604285","000000019","63.2","000000070","","","","","","","","","","","",""
"Västraskolan","81899882","Nyköping","0480","Kommunal","Nyköpingskommun","2120002940","000000025","44","000000108","","","","","","","","","","","",""
"Östraskolan","87469558","Nyköping","0480","Kommunal","Nyköpingskommun","2120002940","000000064","42.2","000000277","","","","","","","","","","","",""
"GröndalsskolanF-9","65717061","Nynäshamn","0192","Kommunal","Nynäshamnskommun","2120000233","000000050","56","000000667","","","","","","","","","","","",""
"KyrkskolanF-2","52406620","Nynäshamn","0192","Kommunal","Nynäshamnskommun","2120000233","000000062","45.2","000000095","","","","","","","","","","","",""
"MontessoriskolanBinomen","55217164","Nynäshamn","0192","Enskild","FöreningenBarnensBästa","8124012371","000000011","..","000000032","","","","","","","","","","","",""
"Sunnerbyskolan3-6","78703073","Nynäshamn","0192","Kommunal","Nynäshamnskommun","2120000233",".",".","000000173","","","","","","","","","","","",""
"SvandammsskolanF-6","18193338","Nynäshamn","0192","Kommunal","Nynäshamnskommun","2120000233","000000057","40.4","000000333","","","","","","","","","","","",""
"TallbackaskolanF-3","12468259","Nynäshamn","0192","Kommunal","Nynäshamnskommun","2120000233","000000057","49.1","000000143","","","","","","","","","","","",""
"Vanstaskolan7-9","73184416","Nynäshamn","0192","Kommunal","Nynäshamnskommun","2120000233",".",".","000000309","","","","","","","","","","","",""
"VanstaskolanF-6","95790053","Nynäshamn","0192","Kommunal","Nynäshamnskommun","2120000233","000000041","41.5","000000368","","","","","","","","","","","",""
"ViaskolanF-9","34814578","Nynäshamn","0192","Kommunal","Nynäshamnskommun","2120000233","000000092","57.6","000000610","","","","","","","","","","","",""
"Annebergsskola","58161963","Nässjö","0682","Kommunal","Nässjökommun","2120000548","000000026","46.2","000000183","","","","","","","","","","","",""
"Brinellshögstadium","27489659","Nässjö","0682","Kommunal","Nässjökommun","2120000548",".",".","000000330","","","","","","","","","","","",""
"Emåskolan","38682093","Nässjö","0682","Kommunal","Nässjökommun","2120000548","000000029","44.8","000000105","","","","","","","","","","","",""
"Handskerydsskolan","10917843","Nässjö","0682","Kommunal","Nässjökommun","2120000548","000000036","63.9","000000291","","","","","","","","","","","",""
"Malmbäckskola","17341861","Nässjö","0682","Kommunal","Nässjökommun","2120000548","000000029","55.2","000000135","","","","","","","","","","","",""
"Norråsaskolan","19118399","Nässjö","0682","Kommunal","Nässjökommun","2120000548",".",".","000000432","","","","","","","","","","","",""
"Nyhemsskolan","53807998","Nässjö","0682","Kommunal","Nässjökommun","2120000548","000000062","45.2","000000276","","","","","","","","","","","",""
"Parkskolan","97882848","Nässjö","0682","Kommunal","Nässjökommun","2120000548",".",".","000000323","","","","","","","","","","","",""
"Rosenholmsskolan","66394964","Nässjö","0682","Kommunal","Nässjökommun","2120000548","000000040","35","000000309","","","","","","","","","","","",""
"Runnerydsskolan1","73647686","Nässjö","0682","Kommunal","Nässjökommun","2120000548",".",".","000000286","","","","","","","","","","","",""
"Runnerydsskolan2","27829033","Nässjö","0682","Kommunal","Nässjökommun","2120000548",".",".","000000262","","","","","","","","","","","",""
"Sandsjöforsskola","20352322","Nässjö","0682","Kommunal","Nässjökommun","2120000548","000000011","..","000000081","","","","","","","","","","","",""
"Åkerskolan1","85030969","Nässjö","0682","Kommunal","Nässjökommun","2120000548","000000067","53.7","000000195","","","","","","","","","","","",""
"Åkerskolan2","13366102","Nässjö","0682","Kommunal","Nässjökommun","2120000548",".",".","000000188","","","","","","","","","","","",""
"Ängsskola","20527864","Nässjö","0682","Kommunal","Nässjökommun","2120000548","000000010","..","000000034","","","","","","","","","","","",""
"Gäverängeskolan","54096978","Ockelbo","2101","Kommunal","Ockelbokommun","2120002288","000000025","56","000000105","","","","","","","","","","","",""
"Perslundaskolan","40000547","Ockelbo","2101","Kommunal","Ockelbokommun","2120002288",".",".","000000358","","","","","","","","","","","",""
"Åbyggebyskola","65270641","Ockelbo","2101","Kommunal","Ockelbokommun","2120002288","000000024","41.7","000000092","","","","","","","","","","","",""
"Brännaregårdsskolan","37539722","Olofström","1060","Kommunal","Olofströmskommun","2120000811","000000039","38.5","000000338","","","","","","","","","","","",""
"Gränumsskola","83914063","Olofström","1060","Kommunal","Olofströmskommun","2120000811","000000014","..","000000017","","","","","","","","","","","",""
"Högavångsskolan","53603984","Olofström","1060","Kommunal","Olofströmskommun","2120000811",".",".","000000418","","","","","","","","","","","",""
"Jämshögsskola","81995218","Olofström","1060","Kommunal","Olofströmskommun","2120000811","000000024","..","000000142","","","","","","","","","","","",""
"Kyrkhultsskola","14765915","Olofström","1060","Kommunal","Olofströmskommun","2120000811","000000027","48.1","000000144","","","","","","","","","","","",""
"Vilboksskolan","12015531","Olofström","1060","Kommunal","Olofströmskommun","2120000811","000000038","63.2","000000206","","","","","","","","","","","",""
"Bergetskolan","44551665","Orsa","2034","Kommunal","Orsakommun","2120002189","000000023","52.2","000000135","","","","","","","","","","","",""
"Digerbergetsskola","89047020","Orsa","2034","Kommunal","Orsakommun","2120002189","000000020","..","000000122","","","","","","","","","","","",""
"Kyrkbynsskola","26900910","Orsa","2034","Kommunal","Orsakommun","2120002189","000000020","..","000000103","","","","","","","","","","","",""
"Orsaskolan","19694910","Orsa","2034","Kommunal","Orsakommun","2120002189",".",".","000000220","","","","","","","","","","","",""
"SkattungeFriskola","94925126","Orsa","2034","Enskild","SkattungeFriskolaekonomiskförening","7696208698","000000003",".","000000021","","","","","","","","","","","",""
"Ellösskola","44875711","Orust","1421","Kommunal","Orustkommun","2120001314","000000021","..","000000136","","","","","","","","","","","",""
"Henånsskola4-6","64019788","Orust","1421","Kommunal","Orustkommun","2120001314",".",".","000000120","","","","","","","","","","","",""
"Henånsskola7-9","76943513","Orust","1421","Kommunal","Orustkommun","2120001314",".",".","000000255","","","","","","","","","","","",""
"HenånsskolaF-3","24399504","Orust","1421","Kommunal","Orustkommun","2120001314","000000038","44.7","000000125","","","","","","","","","","","",""
"OrustMontessoriskola","31200039","Orust","1421","Enskild","OrustsMontessoriskolaEkonomiskFörening","7164451614","000000009","..","000000051","","","","","","","","","","","",""
"OrustWaldorfskola","57712538","Orust","1421","Enskild","WaldorfpedagogikpåOrustekonomiskförening","7696143085",".",".","000000103","","","","","","","","","","","",""
"Stensboskola","46609170","Orust","1421","Enskild","StensboSkolaIdeellFörening","8690012110",".",".","000000029","","","","","","","","","","","",""
"Varekilsskola","89541556","Orust","1421","Kommunal","Orustkommun","2120001314","000000022","50","000000131","","","","","","","","","","","",""
"Ängåsskola,4-6","90426615","Orust","1421","Kommunal","Orustkommun","2120001314",".",".","000000122","","","","","","","","","","","",""
"Ängåsskola7-9","34557677","Orust","1421","Kommunal","Orustkommun","2120001314",".",".","000000196","","","","","","","","","","","",""
"ÄngåsskolaF-3","90671452","Orust","1421","Kommunal","Orustkommun","2120001314","000000042","45.2","000000111","","","","","","","","","","","",""
"Hasslarödsskolan7-9","13184976","Osby","1273","Kommunal","Osbykommun","2120000902",".",".","000000237","","","","","","","","","","","",""
"HasslarödsskolanF-6","21621712","Osby","1273","Kommunal","Osbykommun","2120000902","000000022","..","000000307","","","","","","","","","","","",""
"KillebergskolanF-6","54518621","Osby","1273","Kommunal","Osbykommun","2120000902","000000016","..","000000110","","","","","","","","","","","",""
"KlockarskogsskolanF-3","67170282","Osby","1273","Kommunal","Osbykommun","2120000902","000000029","51.7","000000102","","","","","","","","","","","",""
"Parkskolan7-9","61939706","Osby","1273","Kommunal","Osbykommun","2120000902",".",".","000000114","","","","","","","","","","","",""
"ParkskolanF-6","70332017","Osby","1273","Kommunal","Osbykommun","2120000902","000000043","55.8","000000265","","","","","","","","","","","",""
"Visslan","65486343","Osby","1273","Kommunal","Osbykommun","2120000902",".",".","000000010","","","","","","","","","","","",""
"ÖrkenedskolanF-9","21002578","Osby","1273","Kommunal","Osbykommun","2120000902","000000033","48.5","000000294","","","","","","","","","","","",""
"Bockaraskolan","63303871","Oskarshamn","0882","Kommunal","Oskarshamnskommun","2120000761","000000010","..","000000030","","","","","","","","","","","",""
"Figeholmskolan","58067335","Oskarshamn","0882","Kommunal","Oskarshamnskommun","2120000761","000000028","53.6","000000044","","","","","","","","","","","",""
"Fårboskolan","61661790","Oskarshamn","0882","Kommunal","Oskarshamnskommun","2120000761",".",".","000000088","","","","","","","","","","","",""
"Kristdalaskolan","87104917","Oskarshamn","0882","Kommunal","Oskarshamnskommun","2120000761","000000019","..","000000104","","","","","","","","","","","",""
"KristinebergskolanF-9","38052846","Oskarshamn","0882","Kommunal","Oskarshamnskommun","2120000761","000000073","54.8","000000703","","","","","","","","","","","",""
"Misterhultsfriskola","90374935","Oskarshamn","0882","Enskild","MisterhultSkolaEk.För.","7696099956","000000008","..","000000020","","","","","","","","","","","",""
"NorraskolanF-6","98898491","Oskarshamn","0882","Kommunal","Oskarshamnskommun","2120000761","000000055","65.5","000000332","","","","","","","","","","","",""
"Påskallavikskolan","42558848","Oskarshamn","0882","Kommunal","Oskarshamnskommun","2120000761","000000018","..","000000128","","","","","","","","","","","",""
"RödsleskolanF-9","55569663","Oskarshamn","0882","Kommunal","Oskarshamnskommun","2120000761","000000056","48.2","000000676","","","","","","","","","","","",""
"Saltvikskolan","43214252","Oskarshamn","0882","Kommunal","Oskarshamnskommun","2120000761","000000015","..","000000058","","","","","","","","","","","",""
"VallhallaskolanF-9","65582914","Oskarshamn","0882","Kommunal","Oskarshamnskommun","2120000761","000000043","46.5","000000597","","","","","","","","","","","",""
"Alftaskolan7-9","92304123","Ovanåker","2121","Kommunal","Ovanåkerskommun","2120002304",".",".","000000148","","","","","","","","","","","",""
"AlftaskolanF-6","54774286","Ovanåker","2121","Kommunal","Ovanåkerskommun","2120002304","000000044","47.7","000000186","","","","","","","","","","","",""
"Celsiusskolan7-9","43362307","Ovanåker","2121","Kommunal","Ovanåkerskommun","2120002304",".",".","000000241","","","","","","","","","","","",""
"CelsiusskolanF-6","63488719","Ovanåker","2121","Kommunal","Ovanåkerskommun","2120002304","000000023","47.8","000000147","","","","","","","","","","","",""
"Knådaskola","21674603","Ovanåker","2121","Kommunal","Ovanåkerskommun","2120002304","000000014","..","000000089","","","","","","","","","","","",""
"Lillboskolan","85584111","Ovanåker","2121","Kommunal","Ovanåkerskommun","2120002304","000000020","50","000000125","","","","","","","","","","","",""
"Rotebergsskola","39130316","Ovanåker","2121","Kommunal","Ovanåkerskommun","2120002304","000000022","45.5","000000104","","","","","","","","","","","",""
"Runemoskola","24030299","Ovanåker","2121","Kommunal","Ovanåkerskommun","2120002304","000000008","..","000000072","","","","","","","","","","","",""
"Viksjöforsskola","44977557","Ovanåker","2121","Kommunal","Ovanåkerskommun","2120002304","000000008","..","000000041","","","","","","","","","","","",""
"Oxelöskolan","12053461","Oxelösund","0481","Kommunal","Oxelösundskommun","2120000324","000000040","42.5","000000366","","","","","","","","","","","",""
"Peterslundsskolan","46563141","Oxelösund","0481","Kommunal","Oxelösundskommun","2120000324","000000050","54","000000238","","","","","","","","","","","",""
"Ramdalsskolan","98215830","Oxelösund","0481","Kommunal","Oxelösundskommun","2120000324","000000049","46.9","000000492","","","","","","","","","","","",""
"Gårdbyskolan","55662841","Pajala","2521","Kommunal","Pajalakommun","2120002718","000000007","..","000000069","","","","","","","","","","","",""
"KangosKultur-oekologiskola","35837794","Pajala","2521","Enskild","KangosKulturochEkologiskola","8976008238","000000004",".","000000044","","","","","","","","","","","",""
"PajalaCentralskola","12443258","Pajala","2521","Kommunal","Pajalakommun","2120002718",".",".","000000236","","","","","","","","","","","",""
"Sattajärviskola","36111143","Pajala","2521","Kommunal","Pajalakommun","2120002718","000000004","..","000000058","","","","","","","","","","","",""
"Smedskolan","94203685","Pajala","2521","Kommunal","Pajalakommun","2120002718","000000033","48.5","000000090","","","","","","","","","","","",""
"TärendöCentralskola","37347252","Pajala","2521","Kommunal","Pajalakommun","2120002718","000000007","..","000000026","","","","","","","","","","","",""
"BjörndammensskolaF-6","54361227","Partille","1402","Kommunal","Partillekommun","2120001272","000000027","44.4","000000248","","","","","","","","","","","",""
"CasaMontessori","68358072","Partille","1402","Enskild","MontessoristiftelseniPartille","8572054610","000000018","55.6","000000174","","","","","","","","","","","",""
"FurulundsskolaF-6","69175568","Partille","1402","Kommunal","Partillekommun","2120001272","000000065","43.1","000000339","","","","","","","","","","","",""
"JonseredsskolaF-5","60280777","Partille","1402","Kommunal","Partillekommun","2120001272","000000038","39.5","000000202","","","","","","","","","","","",""
"Lexbyskola6-9","51610240","Partille","1402","Kommunal","Partillekommun","2120001272",".",".","000000525","","","","","","","","","","","",""
"LillegårdsskolanF-5","10695761","Partille","1402","Kommunal","Partillekommun","2120001272","000000053","56.6","000000260","","","","","","","","","","","",""
"Oxledsskolan","88535398","Partille","1402","Kommunal","Partillekommun","2120001272","000000050","46","000000314","","","","","","","","","","","",""
"SkulltorpsskolaF-5","12767465","Partille","1402","Kommunal","Partillekommun","2120001272","000000047","44.7","000000220","","","","","","","","","","","",""
"Stadsparksskolan","57412559","Partille","1402","Kommunal","Partillekommun","2120001272",".",".","000000293","","","","","","","","","","","",""
"Ugglumsskola5-9","78100490","Partille","1402","Kommunal","Partillekommun","2120001272",".",".","000000270","","","","","","","","","","","",""
"UgglumsskolaF-4","84718487","Partille","1402","Kommunal","Partillekommun","2120001272","000000052","51.9","000000253","","","","","","","","","","","",""
"Vallhamraskola4-6","67190366","Partille","1402","Kommunal","Partillekommun","2120001272",".",".","000000248","","","","","","","","","","","",""
"Vallhamraskola7-9","92848832","Partille","1402","Kommunal","Partillekommun","2120001272",".",".","000000380","","","","","","","","","","","",""
"VallhamraskolaF-3","65226712","Partille","1402","Kommunal","Partillekommun","2120001272","000000107","45.8","000000270","","","","","","","","","","","",""
"ÖjersjöBrunnskolaAF-4","67739660","Partille","1402","Kommunal","Partillekommun","2120001272","000000058","50","000000185","","","","","","","","","","","",""
"ÖjersjöBrunnskolaBF-4","85130794","Partille","1402","Kommunal","Partillekommun","2120001272","000000049","59.2","000000220","","","","","","","","","","","",""
"ÖjersjöStoregårdskola5-9","19873115","Partille","1402","Kommunal","Partillekommun","2120001272",".",".","000000526","","","","","","","","","","","",""
"Centralskolan4-6","97348759","Perstorp","1275","Kommunal","Perstorpskommun","2120000910",".",".","000000247","","","","","","","","","","","",""
"Centralskolan7-9","45023939","Perstorp","1275","Kommunal","Perstorpskommun","2120000910",".",".","000000297","","","","","","","","","","","",""
"NorraLyckanskola","32734414","Perstorp","1275","Kommunal","Perstorpskommun","2120000910",".",".","000000190","","","","","","","","","","","",""
"Oderljungaskola","60288966","Perstorp","1275","Kommunal","Perstorpskommun","2120000910","000000008","..","000000036","","","","","","","","","","","",""
"Parkskolan","54638535","Perstorp","1275","Kommunal","Perstorpskommun","2120000910","000000089","56.2","000000087","","","","","","","","","","","",""
"Backeskolan","54570457","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000022","..","000000075","","","","","","","","","","","",""
"Backgårdsskolan","16816091","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000045","66.7","000000117","","","","","","","","","","","",""
"Bergsviksskolan","55036987","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000032","40.6","000000201","","","","","","","","","","","",""
"Björklundaskolan","10654481","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000035","37.1","000000085","","","","","","","","","","","",""
"Böleskola","50775398","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000026","57.7","000000084","","","","","","","","","","","",""
"Christinaskolan","94591900","Piteå","2581","Kommunal","Piteåkommun","2120002759",".",".","000000351","","","","","","","","","","","",""
"DalbackensFriskola","12534565","Piteå","2581","Enskild","DalbackensFriskolaEkonomiskförening","7696273411","000000017","..","000000062","","","","","","","","","","","",""
"Hortlaxskola","10185533","Piteå","2581","Kommunal","Piteåkommun","2120002759",".",".","000000303","","","","","","","","","","","",""
"Iurochskur-Forsen","48863212","Piteå","2581","Enskild","FastighetsbolagetSikforsbygdenAB","5566138151","000000005","..","000000035","","","","","","","","","","","",""
"Jävreskola","71768337","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000009","..","000000048","","","","","","","","","","","",""
"Klubbgärdsskolan","52474877","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000020","..","000000061","","","","","","","","","","","",""
"Kullenskolan","15031493","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000022","50","000000062","","","","","","","","","","","",""
"Långskataskolan","27957195","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000021","47.6","000000108","","","","","","","","","","","",""
"Munksundsskola","11749297","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000034","41.2","000000108","","","","","","","","","","","",""
"Norrbyskolan","12947382","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000023","43.5","000000168","","","","","","","","","","","",""
"Norrmalmskolan","52510171","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000043","44.2","000000401","","","","","","","","","","","",""
"Pitholmsskolan4-6","99362822","Piteå","2581","Kommunal","Piteåkommun","2120002759",".",".","000000259","","","","","","","","","","","",""
"Pitholmsskolan7-9","18339846","Piteå","2581","Kommunal","Piteåkommun","2120002759",".",".","000000245","","","","","","","","","","","",""
"Porsnässkolan","18748381","Piteå","2581","Kommunal","Piteåkommun","2120002759",".",".","000000344","","","","","","","","","","","",""
"Rosviksskola","78813157","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000035","40","000000176","","","","","","","","","","","",""
"Sjulnässkolan","42296356","Piteå","2581","Kommunal","Piteåkommun","2120002759",".",".","000000298","","","","","","","","","","","",""
"Sjulsmarksskola","48156668","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000006","..","000000044","","","","","","","","","","","",""
"Solanderskolan","69993304","Piteå","2581","Kommunal","Piteåkommun","2120002759",".",".","000000281","","","","","","","","","","","",""
"Strömnässkola","50133724","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000029","41.4","000000129","","","","","","","","","","","",""
"Svensbyskola","67036296","Piteå","2581","Kommunal","Piteåkommun","2120002759","000000034","47.1","000000100","","","","","","","","","","","",""
"TolvmansFriskola","44290268","Piteå","2581","Enskild","TolvmansskolansEkonomiskaFörening","7696098875","000000011","..","000000041","","","","","","","","","","","",""
"Anders-Olofskolan","78545687","Ragunda","2303","Kommunal","Ragundakommun","2120002452",".",".","000000215","","","","","","","","","","","",""
"Hansåkerskolan","22316816","Ragunda","2303","Kommunal","Ragundakommun","2120002452","000000014","85.7","000000181","","","","","","","","","","","",""
"Järåskolan","26530842","Ragunda","2303","Kommunal","Ragundakommun","2120002452","000000005","..","000000044","","","","","","","","","","","",""
"Kullstaskolan","40542956","Ragunda","2303","Kommunal","Ragundakommun","2120002452","000000022","..","000000086","","","","","","","","","","","",""
"Bygdeåskola","96684788","Robertsfors","2409","Kommunal","Robertsforskommun","2120002551","000000014","78.6","000000100","","","","","","","","","","","",""
"Djäknebodaskola","75624738","Robertsfors","2409","Kommunal","Robertsforskommun","2120002551","000000005","..","000000014","","","","","","","","","","","",""
"JenningsskolanåkF-3","37246669","Robertsfors","2409","Kommunal","Robertsforskommun","2120002551","000000033","51.5","000000113","","","","","","","","","","","",""
"Nybyskolan","21641008","Robertsfors","2409","Kommunal","Robertsforskommun","2120002551","000000020","50","000000086","","","","","","","","","","","",""
"Tundalsskolanåk4-6","74237143","Robertsfors","2409","Kommunal","Robertsforskommun","2120002551",".",".","000000122","","","","","","","","","","","",""
"Tundalsskolanåk7-9","74131494","Robertsfors","2409","Kommunal","Robertsforskommun","2120002551",".",".","000000232","","","","","","","","","","","",""
"Åkullsjönsskola","47410806","Robertsfors","2409","Kommunal","Robertsforskommun","2120002551","000000004","..","000000019","","","","","","","","","","","",""
"Backarydsskolan","56938498","Ronneby","1081","Kommunal","Ronnebykommun","2120000837","000000012","..","000000068","","","","","","","","","","","",""
"Eringsbodaskolan","73174754","Ronneby","1081","Kommunal","Ronnebykommun","2120000837","000000007","..","000000041","","","","","","","","","","","",""
"Espedalsskolan","22033858","Ronneby","1081","Kommunal","Ronnebykommun","2120000837","000000046","41.3","000000195","","","","","","","","","","","",""
"Fredriksbergsskolan","79063974","Ronneby","1081","Kommunal","Ronnebykommun","2120000837","000000063","41.3","000000317","","","","","","","","","","","",""
"G-klavensfriståendeskola","71629249","Ronneby","1081","Enskild","G-KlavenAB","5566033592","000000021","57.1","000000123","","","","","","","","","","","",""
"Hallabroskolan","11842600","Ronneby","1081","Kommunal","Ronnebykommun","2120000837","000000008","..","000000084","","","","","","","","","","","",""
"Hobyskolan","67089636","Ronneby","1081","Kommunal","Ronnebykommun","2120000837","000000036","58.3","000000213","","","","","","","","","","","",""
"Johannishusskolan","71423952","Ronneby","1081","Kommunal","Ronnebykommun","2120000837","000000015","..","000000104","","","","","","","","","","","",""
"Kallingeskolan7-9","53155267","Ronneby","1081","Kommunal","Ronnebykommun","2120000837",".",".","000000386","","","","","","","","","","","",""
"KallingeskolanF-6","71592444","Ronneby","1081","Kommunal","Ronnebykommun","2120000837","000000029","65.5","000000168","","","","","","","","","","","",""
"Listerbyskolan","89240233","Ronneby","1081","Kommunal","Ronnebykommun","2120000837","000000022","54.5","000000159","","","","","","","","","","","",""
"Parkdalaskolan4-6","55600914","Ronneby","1081","Kommunal","Ronnebykommun","2120000837",".",".","000000121","","","","","","","","","","","",""
"Parkdalaskolan7-9","10175276","Ronneby","1081","Kommunal","Ronnebykommun","2120000837",".",".","000000464","","","","","","","","","","","",""
"Saxemaraskolan","11927362","Ronneby","1081","Kommunal","Ronnebykommun","2120000837","000000014","..","000000101","","","","","","","","","","","",""
"Slättagårdsskolan","67037141","Ronneby","1081","Kommunal","Ronnebykommun","2120000837","000000034","50","000000194","","","","","","","","","","","",""
"ThorenFramtidiRonneby","38449858","Ronneby","1081","Enskild","ThorenFramtidAB","5567497051","000000030","43.3","000000389","","","","","","","","","","","",""
"Bodaskola","36630405","Rättvik","2031","Kommunal","Rättvikskommun","2120002171","000000008","..","000000041","","","","","","","","","","","",""
"Furudalscentralskola","30917018","Rättvik","2031","Kommunal","Rättvikskommun","2120002171","000000012","..","000000092","","","","","","","","","","","",""
"Ingelsskola","33822526","Rättvik","2031","Kommunal","Rättvikskommun","2120002171","000000002","..","000000026","","","","","","","","","","","",""
"Nyhedsskolan","60694017","Rättvik","2031","Kommunal","Rättvikskommun","2120002171","000000026","38.5","000000219","","","","","","","","","","","",""
"Rättviksskolan","73451967","Rättvik","2031","Kommunal","Rättvikskommun","2120002171",".",".","000000289","","","","","","","","","","","",""
"Sätraskola","23181842","Rättvik","2031","Kommunal","Rättvikskommun","2120002171","000000004","..","000000014","","","","","","","","","","","",""
"Söderåsskola","52314089","Rättvik","2031","Kommunal","Rättvikskommun","2120002171","000000010","..","000000081","","","","","","","","","","","",""
"Vikarbynsskola","89732023","Rättvik","2031","Kommunal","Rättvikskommun","2120002171","000000023","52.2","000000148","","","","","","","","","","","",""
"Ekebyskolan","62812509","Sala","1981","Kommunal","Salakommun","2120002098",".",".","000000365","","","","","","","","","","","",""
"Hedensskola","84214609","Sala","1981","Kommunal","Salakommun","2120002098","000000013","..","000000078","","","","","","","","","","","",""
"Kilaskola","46962800","Sala","1981","Kommunal","Salakommun","2120002098","000000021","47.6","000000101","","","","","","","","","","","",""
"Kilboskola","26414444","Sala","1981","Kommunal","Salakommun","2120002098","000000009","..","000000059","","","","","","","","","","","",""
"Kyrkskolan","61846061","Sala","1981","Kommunal","Salakommun","2120002098","000000006","..","000000084","","","","","","","","","","","",""
"Lärkbacksskolan","74567533","Sala","1981","Kommunal","Salakommun","2120002098","000000020","..","000000161","","","","","","","","","","","",""
"Ranstaskola","64471680","Sala","1981","Kommunal","Salakommun","2120002098","000000018","..","000000120","","","","","","","","","","","",""
"Vallaskolan7-9","62995298","Sala","1981","Kommunal","Salakommun","2120002098",".",".","000000424","","","","","","","","","","","",""
"VallaskolanF-6","40908531","Sala","1981","Kommunal","Salakommun","2120002098","000000075","56","000000446","","","","","","","","","","","",""
"Varmsätraskola","26966214","Sala","1981","Kommunal","Salakommun","2120002098","000000014","..","000000101","","","","","","","","","","","",""
"Västerfärneboskola","52288457","Sala","1981","Kommunal","Salakommun","2120002098","000000020","..","000000088","","","","","","","","","","","",""
"Åbyskola","45723714","Sala","1981","Kommunal","Salakommun","2120002098","000000012","..","000000044","","","","","","","","","","","",""
"Åkraskolan","91839062","Sala","1981","Kommunal","Salakommun","2120002098","000000037","40.5","000000294","","","","","","","","","","","",""
"Ängshagenskolan","96344566","Sala","1981","Kommunal","Salakommun","2120002098","000000029","58.6","000000167","","","","","","","","","","","",""
"InnovitaskolanRönninge","76222592","Salem","0128","Enskild","PysslingenFörskolorochSkolorAB","5560354309","000000046","50","000000171","","","","","","","","","","","",""
"NoblaskolanRönninge","97927760","Salem","0128","Enskild","PysslingenFörskolorochSkolorAB","5560354309","000000036","38.9","000000081","","","","","","","","","","","",""
"Nytorpsskolan","36262199","Salem","0128","Kommunal","Salemskommun","2120002874","000000030","43.3","000000261","","","","","","","","","","","",""
"Rönningeskola","71677992","Salem","0128","Kommunal","Salemskommun","2120002874","000000025","60","000000449","","","","","","","","","","","",""
"Salemskolan","51578532","Salem","0128","Kommunal","Salemskommun","2120002874",".",".","000000033","","","","","","","","","","","",""
"Skogsängsskolan","58385274","Salem","0128","Kommunal","Salemskommun","2120002874","000000047","51.1","000000500","","","","","","","","","","","",""
"Säbyskolan","92406445","Salem","0128","Kommunal","Salemskommun","2120002874","000000012","..","000000337","","","","","","","","","","","",""
"Söderbyfriskola","56858061","Salem","0128","Enskild","SöderbyFriskolaEkonomiskFörening","7696016117","000000026","61.5","000000241","","","","","","","","","","","",""
"Alsjöskolan","73972330","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346","000000011","..","000000026","","","","","","","","","","","",""
"BjörksätraskolanF-9","53803818","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346","000000046","54.3","000000672","","","","","","","","","","","",""
"Gullhedskolan","82989546","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346","000000026","61.5","000000162","","","","","","","","","","","",""
"Hedängskolan7-9","23876630","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346",".",".","000000195","","","","","","","","","","","",""
"HedängskolanF-6","28178876","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346","000000046","50","000000257","","","","","","","","","","","",""
"Jernvallskolan","38969377","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346","000000064","43.8","000000314","","","","","","","","","","","",""
"Jäderforsskola","89342887","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346","000000009","..","000000045","","","","","","","","","","","",""
"Kungsgårdensskola","88248777","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346","000000019","..","000000098","","","","","","","","","","","",""
"Murgårdsskolan","78907748","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346","000000045","48.9","000000589","","","","","","","","","","","",""
"Norrsätraskolan","80131736","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346",".",".","000000497","","","","","","","","","","","",""
"SandvikensInternationellaMontessoriskola","17233525","Sandviken","2181","Enskild","SandvikensFriskolaAB","5590474481","000000024","58.3","000000199","","","","","","","","","","","",""
"Sätraskola","18586060","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346","000000025","44","000000162","","","","","","","","","","","",""
"Vallhovskolan","92306906","Sandviken","2181","Kommunal","Sandvikenskommun","2120002346","000000068","47.1","000000217","","","","","","","","","","","",""
