"Skola","Enhetskod","Skolkommun","Kommunkod","Typavhuvudman","Huvudman","HuvudmanOrgnr","Eleverförskoleklass","Andelflickor(%)","Elever ÅK 1-9","","","","","","","","","","","",""
"Svenstaviksskola7-9","63849173","Berg","2326","Kommunal","Bergskommun","2120002502",".",".","000000135","","","","","","","","","","","",""
"SvenstaviksskolaF-6","64147674","Berg","2326","Kommunal","Bergskommun","2120002502","000000017","70.6","000000126","","","","","","","","","","","",""
"Åsarnaskola","67992279","Berg","2326","Kommunal","Bergskommun","2120002502","000000008","..","000000042","","","","","","","","","","","",""
"Castorskolan4-9","81730469","Bjurholm","2403","Kommunal","Bjurholmskommun","2120002833",".",".","000000161","","","","","","","","","","","",""
"CastorskolanF-3","95790040","Bjurholm","2403","Kommunal","Bjurholmskommun","2120002833","000000036","44.4","000000063","","","","","","","","","","","",""
"Brogårdaskolan","74696775","Bjuv","1260","Kommunal","Bjuvskommun","2120001041","000000060","53.3","000000330","","","","","","","","","","","",""
"Ekebyskola","56636046","Bjuv","1260","Kommunal","Bjuvskommun","2120001041","000000054","55.6","000000422","","","","","","","","","","","",""
"JensBilleskolan","63754384","Bjuv","1260","Kommunal","Bjuvskommun","2120001041","000000055","45.5","000000453","","","","","","","","","","","",""
"Varagårdsskolan","10419361","Bjuv","1260","Kommunal","Bjuvskommun","2120001041","000000051","49","000000494","","","","","","","","","","","",""
"Brönjaskolan","60633912","Boden","2582","Kommunal","Bodenskommun","2120002767",".",".","000000300","","","","","","","","","","","",""
"Fagernässkola","55055777","Boden","2582","Kommunal","Bodenskommun","2120002767","000000019","..","000000127","","","","","","","","","","","",""
"FriaEmilia","98998541","Boden","2582","Enskild","FriskolaFriaEmiliaBodenekonomiskförening","7696083455","000000027","51.9","000000245","","","","","","","","","","","",""
"Haradsskola","82094905","Boden","2582","Kommunal","Bodenskommun","2120002767","000000011","..","000000061","","","","","","","","","","","",""
"Hedensskolan","53832535","Boden","2582","Kommunal","Bodenskommun","2120002767","000000032","46.9","000000235","","","","","","","","","","","",""
"MimersBrunnVittjärv","65431245","Boden","2582","Enskild","MimersVittjärvAB","5567226062","000000014","..","000000065","","","","","","","","","","","",""
"Mårängskolan","75860725","Boden","2582","Kommunal","Bodenskommun","2120002767","000000070","55.7","000000329","","","","","","","","","","","",""
"NoblaskolanBoden","40708452","Boden","2582","Enskild","PysslingenFörskolorochSkolorAB","5560354309","000000021","..","000000300","","","","","","","","","","","",""
"Prästholmsskolan","31341183","Boden","2582","Kommunal","Bodenskommun","2120002767","000000039","53.8","000000190","","","","","","","","","","","",""
"Stureskolan","83862028","Boden","2582","Kommunal","Bodenskommun","2120002767",".",".","000000342","","","","","","","","","","","",""
"Svartbjörnsbynsskola","98704682","Boden","2582","Kommunal","Bodenskommun","2120002767","000000021","52.4","000000132","","","","","","","","","","","",""
"TankeborgenSvartlåFria","97359904","Boden","2582","Enskild","Svartlå-SandträskEkonomiskaFöreningen","7696081434","000000002","..","000000029","","","","","","","","","","","",""
"Torpgärdsskolan","67642516","Boden","2582","Kommunal","Bodenskommun","2120002767","000000044","52.3","000000256","","","","","","","","","","","",""
"Unbynsskola","10411502","Boden","2582","Kommunal","Bodenskommun","2120002767","000000009","..","000000050","","","","","","","","","","","",""
"Älvskolan","29649408","Boden","2582","Kommunal","Bodenskommun","2120002767","000000003","..","000000027","","","","","","","","","","","",""
"Bollebygdskolan4-6","54447651","Bollebygd","1443","Kommunal","Bollebygdskommun","2120002973",".",".","000000197","","","","","","","","","","","",""
"Bollebygdskolan7-9","60372258","Bollebygd","1443","Kommunal","Bollebygdskommun","2120002973",".",".","000000372","","","","","","","","","","","",""
"BollebygdskolanF-3","39280013","Bollebygd","1443","Kommunal","Bollebygdskommun","2120002973","000000069","52.2","000000223","","","","","","","","","","","",""
"FöräldrakooperativetGadden","43939920","Bollebygd","1443","Enskild","Föräldrakoop.GaddenEk.Förening","7164481132","000000022","68.2","000000129","","","","","","","","","","","",""
"Töllsjöskolan","45052222","Bollebygd","1443","Kommunal","Bollebygdskommun","2120002973","000000010","..","000000099","","","","","","","","","","","",""
"Örelundskolan","16196769","Bollebygd","1443","Kommunal","Bollebygdskommun","2120002973","000000012","..","000000124","","","","","","","","","","","",""
"Alirskolan7-9","65024773","Bollnäs","2183","Kommunal","Bollnäskommun","2120002361",".",".","000000298","","","","","","","","","","","",""
"ArbråskolanF-9","75662206","Bollnäs","2183","Kommunal","Bollnäskommun","2120002361","000000018","..","000000231","","","","","","","","","","","",""
"BjörktjäraskolaF-6","44164435","Bollnäs","2183","Kommunal","Bollnäskommun","2120002361","000000038","47.4","000000265","","","","","","","","","","","",""
"Edenskolan","69498258","Bollnäs","2183","Enskild","StiftelsenBollnäsBibelcenter","8865009610","000000006","..","000000027","","","","","","","","","","","",""
"FRIattVÄXAVäxsjöByskola","38769534","Bollnäs","2183","Enskild","VäxsjöbyskolaAB","5568021496","000000016","62.5","000000046","","","","","","","","","","","",""
"FriskolanLust&Lära","91187921","Bollnäs","2183","Enskild","FriskolanLust&LäraiBollnäsAB","5567748149",".",".","000000397","","","","","","","","","","","",""
"GranbergsskolanF-6","72687432","Bollnäs","2183","Kommunal","Bollnäskommun","2120002361","000000031","45.2","000000220","","","","","","","","","","","",""
"KilaforsskolaF-9","41793797","Bollnäs","2183","Kommunal","Bollnäskommun","2120002361","000000020","..","000000191","","","","","","","","","","","",""
"KilbergsskolanF-6","92407606","Bollnäs","2183","Kommunal","Bollnäskommun","2120002361","000000038","42.1","000000322","","","","","","","","","","","",""
"NyhamreskolaF-6","29124453","Bollnäs","2183","Kommunal","Bollnäskommun","2120002361","000000047","51.1","000000332","","","","","","","","","","","",""
"RengsjöskolanF-6","43389766","Bollnäs","2183","Kommunal","Bollnäskommun","2120002361","000000021","..","000000111","","","","","","","","","","","",""
"Segerstaskola","74734342","Bollnäs","2183","Enskild","SegerstaskolaAB","5592527765","000000004","..","000000057","","","","","","","","","","","",""
"Sörängsskola","69693147","Bollnäs","2183","Enskild","SörängsskolaAB","5568793417","000000013","..","000000062","","","","","","","","","","","",""
"VallstaskolaF-6","81577420","Bollnäs","2183","Kommunal","Bollnäskommun","2120002361","000000014","..","000000071","","","","","","","","","","","",""
"Västansjöskola","95802522","Bollnäs","2183","Enskild","VästansjöskolaAB","5569182784","000000010","..","000000072","","","","","","","","","","","",""
